seed,cost_suez,cost_cape,cost_basestock,cost_oracle,headroom,best_fixed,stress_disruption,stress_freight,stress_port,stress_quality,stress_supplier,stress_demand,max_overlap,overlap_weeks,spot_died,port_block_longest,fog_disruption,fog_freight,fog_port,fog_quality,fog_supplier,fog_demand,fog
113,6711.487999999999,7243.732000000001,6148.9272,7280.662799999999,-1131.735599999999,6711.487999999999,6,0,0,5,5,0,2,4,0,0,0.0,0.6666666666666666,nan,1.3333333333333333,0.25,nan,0.5625
114,8493.944,8441.416000000001,8553.148,11051.4612,-2498.3132000000005,8441.416000000001,17,0,0,0,3,8,2,8,0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.16666666666666666
115,7570.568,9322.351999999999,7289.1452,6788.954,500.1912000000002,7570.568,1,2,3,0,3,8,2,3,0,2,0.0,0.14285714285714285,0.4,nan,0.0,0.5,0.20857142857142857
116,7098.743999999999,8877.616,6843.229999999999,6072.6236,770.6063999999988,7098.743999999999,1,1,3,0,3,12,2,2,0,2,0.0,0.2,0.0,nan,0.0,0.6666666666666666,0.17333333333333334
117,6987.416,8874.624,6297.182,5627.1732,670.0087999999996,6987.416,0,0,4,0,3,0,1,0,0,4,nan,0.0,0.0,nan,0.0,nan,0.0
118,7546.168,9476.251999999999,6615.134800000001,7120.900000000001,-505.7651999999998,7546.168,1,0,8,0,15,16,4,12,1,5,0.0,0.0,0.14285714285714285,0.0,0.0,1.3333333333333333,0.24603174603174602
119,9846.335999999998,9227.004,9463.496,8065.266399999999,1398.2296000000006,9227.004,22,0,4,0,1,4,3,5,0,4,0.0,0.0,0.25,nan,0.0,0.0,0.05
120,7089.6399999999985,9096.46,6073.4151999999995,6378.1332,-304.71800000000076,7089.6399999999985,0,1,6,0,5,0,2,4,0,4,0.0,0.3333333333333333,0.0,0.5,0.0,nan,0.16666666666666666
121,6146.719999999998,8043.080000000001,5963.0524000000005,4733.6035999999995,1229.448800000001,6146.719999999998,0,0,2,3,7,4,2,3,0,2,nan,0.3333333333333333,0.25,0.0,0.16666666666666666,0.0,0.15
122,8655.896,9099.844,8407.7608,6738.7724,1668.9884000000002,8655.896,18,6,0,2,0,0,2,8,0,0,0.0,0.3333333333333333,0.25,0.0,nan,nan,0.14583333333333331
123,9553.887999999999,11953.832,8046.225200000001,8702.569200000002,-656.344000000001,9553.887999999999,3,6,5,0,1,9,3,8,0,4,0.0,0.3333333333333333,0.0,nan,0.0,0.75,0.21666666666666665
124,6349.495999999999,8807.244,6492.4244,6126.0376000000015,366.3867999999984,6349.495999999999,1,8,0,0,1,3,2,1,0,0,0.0,0.42857142857142855,nan,nan,0.0,1.0,0.35714285714285715
125,9713.28,12380.92,9766.514000000001,9808.060400000002,-41.546400000001086,9713.28,1,6,3,10,0,15,3,10,0,2,0.0,0.2,0.0,3.0,0.0,2.0,0.8666666666666667
126,10565.856000000002,11772.784000000001,9749.1008,9944.6384,-195.53759999999966,10565.856000000002,2,0,9,8,0,4,2,6,0,7,0.0,0.0,0.0,0.25,0.0,1.0,0.20833333333333334
127,5786.352,6621.528,5295.458799999999,4768.1324,527.326399999999,5786.352,3,0,3,0,4,0,2,1,0,2,0.0,0.3333333333333333,0.16666666666666666,1.0,0.0,nan,0.3
128,5301.472,6920.2080000000005,4799.569999999999,4407.154,392.41599999999835,5301.472,1,0,2,10,4,6,3,6,0,2,0.0,nan,0.0,0.5,0.0,1.0,0.3
129,6594.584000000001,6787.875999999998,4737.076800000001,4019.13,717.9468000000006,6594.584000000001,16,0,0,0,3,17,2,16,0,0,0.0,0.0,nan,1.0,0.25,2.0,0.65
130,6850.312000000001,7565.467999999998,6625.4644,5908.974800000001,716.489599999999,6850.312000000001,10,0,1,5,6,4,3,7,0,1,0.0,0.0,0.3333333333333333,2.0,0.0,0.0,0.3888888888888889
131,6681.784000000001,8379.676,6312.009599999999,5451.979600000001,860.0299999999988,6681.784000000001,1,0,10,0,2,0,2,1,0,4,0.0,2.0,0.2222222222222222,nan,0.0,nan,0.5555555555555556
132,6190.823999999999,7998.236000000001,6094.671200000002,5587.1431999999995,507.52800000000207,6190.823999999999,1,0,0,5,3,11,2,4,0,0,0.0,0.0,1.5,0.8,0.0,1.25,0.5916666666666667
133,4941.928,6164.392,4636.2364,3932.5700000000006,703.6663999999992,4941.928,2,0,2,2,2,0,1,0,0,2,0.0,0.0,0.0,0.6666666666666666,0.0,nan,0.13333333333333333
134,9228.168000000003,9974.751999999999,8665.2148,9148.7004,-483.4856,9228.168000000003,11,6,2,0,0,4,2,8,0,2,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.2222222222222222
135,7197.159999999999,8951.240000000002,7066.5992,5333.784799999999,1732.8144000000002,7197.159999999999,0,0,6,0,1,6,2,2,0,4,nan,0.0,0.0,nan,0.0,0.0,0.0
136,6250.647999999999,7732.472,6152.5671999999995,4811.700400000001,1340.8667999999989,6250.647999999999,1,0,3,1,0,7,2,2,0,2,0.0,0.2,0.0,0.0,nan,1.0,0.24
137,10077.496,9911.744,7887.4616000000005,8176.0199999999995,-288.558399999999,9911.744,9,0,3,4,0,8,3,8,0,3,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.19444444444444442
138,4796.272,6286.907999999999,4818.672,4465.501999999999,353.170000000001,4796.272,1,1,1,0,5,0,2,1,0,1,0.0,0.3333333333333333,0.0,0.0,0.2,nan,0.10666666666666666
139,5348.016,6697.5239999999985,4506.2883999999995,6457.933999999999,-1951.6455999999998,5348.016,3,0,0,0,6,15,3,5,0,0,0.0,nan,0.0,0.0,0.14285714285714285,2.5,0.5285714285714286
140,6150.735999999998,8245.604000000003,5545.2996,4321.7616,1223.5380000000005,6150.735999999998,1,3,1,3,3,4,2,2,0,1,0.0,0.25,0.2,0.5,0.0,0.5,0.24166666666666667
141,5462.127999999999,7468.192000000001,5435.1384,4797.6932,637.4452000000001,5462.127999999999,0,0,0,10,0,4,1,0,0,0,0.0,0.0,nan,0.6,nan,0.0,0.15
142,4909.6720000000005,6661.008000000002,4763.4204,4556.296399999999,207.1240000000007,4909.6720000000005,0,0,2,0,3,0,1,0,0,1,0.0,0.0,0.2,nan,0.0,nan,0.05
143,12026.783999999996,15531.175999999998,9253.8148,6436.8828,2816.932,12026.783999999996,2,6,9,0,4,0,2,3,0,8,0.0,0.3333333333333333,0.0,2.0,0.0,nan,0.4666666666666667
144,5682.992,7779.988000000001,5380.372000000001,5097.8092,282.5628000000015,5682.992,0,0,3,0,3,0,1,0,0,2,nan,0.0,0.0,nan,0.3333333333333333,nan,0.1111111111111111
145,8996.415999999997,10925.623999999998,7687.011599999999,6582.834,1104.177599999999,8996.415999999997,2,0,5,10,4,4,2,6,0,5,0.0,nan,0.0,0.6,0.3333333333333333,1.0,0.38666666666666666
146,7411.415999999999,7800.624000000001,7105.5148,6184.7572,920.7575999999999,7411.415999999999,9,2,0,3,12,6,4,12,1,0,0.0,0.4,0.0,0.3333333333333333,0.0,1.0,0.2888888888888889
